7  1029 90.44
21:01:04.528 -> 808  -3069  1027 90.26
21:01:04.528 -> 808  -3069  1027 90.26
21:01:04.528 -> 808  -3069  1027 90.26
21:01:04.528 -> 808  -3069  1027 90.26
21:01:04.528 -> 808  -3069  1027 90.26
21:01:04.528 -> 808  -3069  1027 90.26
21:01:04.528 -> 808  -3069  1027 90.26
21:01:04.528 -> 808  -3069  1027 90.26
21:01:04.528 -> 808  -3069  1027 90.26
21:01:04.528 -> 808  -3069  1027 90.26
21:01:04.528 -> 808  -3069  1027 90.26
21:01:04.528 -> 808  -3069  1027 90.26
21:01:04.528 -> 808  -3069  1027 90.26
21:01:04.528 -> 808  -3069  1027 90.26
21:01:04.528 -> 808  -3069  1027 90.26
21:01:04.561 -> 808  -3069  1027 90.26
21:01:04.561 -> 808  -3069  1027 90.26
21:01:04.561 -> 808  -3069  1027 90.26
21:01:04.561 -> 808  -3069  1027 90.26
21:01:04.561 -> 808  -3069  1027 90.26
21:01:04.561 -> 808  -3069  1027 90.26
21:01:04.561 -> 808  -3069  1027 90.26
21:01:04.561 -> 808  -3069  1027 90.26
21:01:04.561 -> 808  -3069  1027 90.26
21:01:04.561 -> 808  -3069  1027 90.26
21:01:04.561 -> 808  -3069  1027 90.26
21:01:04.561 -> 809  -3068  1028 90.35
21:01:04.561 -> 809  -3068  1028 90.35
21:01:04.561 -> 809  -3068  1028 90.35
21:01:04.561 -> 809  -3068  1028 90.35
21:01:04.561 -> 809  -3068  1028 90.35
21:01:04.595 -> 809  -3068  1028 90.35
21:01:04.595 -> 809  -3068  1028 90.35
21:01:04.595 -> 810  -3067  1029 90.44
21:01:04.595 -> 810  -3067  1029 90.44
21:01:04.595 -> 810  -3067  1029 90.44
21:01:04.595 -> 810  -3067  1029 90.44
21:01:04.595 -> 810  -3067  1029 90.44
21:01:04.595 -> 810  -3067  1029 90.44
21:01:04.595 -> 811  -3066  1030 90.53
21:01:04.595 -> 811  -3066  1030 90.53
21:01:04.595 -> 811  -3066  1030 90.53
21:01:04.595 -> 811  -3066  1030 90.53
21:01:04.595 -> 811  -3066  1030 90.53
21:01:04.595 -> 811  -3066  1030 90.53
21:01:04.595 -> 811  -3066  1030 90.53
21:01:04.595 -> 811  -3066  1030 90.53
21:01:04.595 -> 811  -3066  1030 90.53
21:01:04.628 -> 811  -3066  1030 90.53
21:01:04.628 -> 811  -3066  1030 90.53
21:01:04.628 -> 811  -3066  1030 90.53
21:01:04.628 -> 811  -3066  1030 90.53
21:01:04.628 -> 811  -3066  1030 90.53
21:01:04.628 -> 811  -3066  1030 90.53
21:01:04.628 -> 811  -3066  1030 90.53
21:01:04.628 -> 811  -3066  1030 90.53
21:01:04.628 -> 811  -3066  1030 90.53
21:01:04.628 -> 810  -3067  1029 90.44
21:01:04.628 -> 810  -3067  1029 90.44
21:01:04.628 -> 810  -3067  1029 90.44
21:01:04.628 -> 810  -3067  1029 90.44
21:01:04.628 -> 810  -3067  1029 90.44
21:01:04.628 -> 810  -3067  1029 90.44
21:01:04.628 -> 810  -3067  1029 90.44
21:01:04.661 -> 810  -3067  1029 90.44
21:01:04.661 -> 810  -3067  1029 90.44
21:01:04.661 -> 810  -3067  1029 90.44
21:01:04.661 -> 809  -3068  1028 90.35
21:01:04.661 -> 809  -3068  1028 90.35
21:01:04.661 -> 809  -3068  1028 90.35
21:01:04.661 -> 809  -3068  1028 90.35
21:01:04.661 -> 809  -3068  1028 90.35
21:01:04.661 -> 809  -3068  1028 90.35
21:01:04.661 -> 809  -3068  1028 90.35
21:01:04.661 -> 809  -3068  1028 90.35
21:01:04.661 -> 809  -3068  1028 90.35
21:01:04.661 -> 808  -3069  1027 90.26
21:01:04.661 -> 809  -3068  1028 90.35
21:01:04.661 -> 808  -3069  1027 90.26
21:01:04.661 -> 808  -3069  1027 90.26
21:01:04.694 -> 808  -3069  1027 90.26
21:01:04.694 -> 808  -3069  1027 90.26
21:01:04.694 -> 808  -3069  1027 90.26
21:01:04.694 -> 808  -3069  1027 90.26
21:01:04.694 -> 808  -3069  1027 90.26
21:01:04.694 -> 808  -3069  1027 90.26
21:01:04.694 -> 808  -3069  1027 90.26
21:01:04.694 -> 808  -3069  1027 90.26
21:01:04.694 -> 808  -3069  1027 90.26
21:01:04.694 -> 808  -3069  1027 90.26
21:01:04.694 -> 808  -3069  1027 90.26
21:01:04.694 -> 808  -3069  1027 90.26
21:01:04.694 -> 808  -3069  1027 90.26
21:01:04.694 -> 808  -3069  1027 90.26
21:01:04.694 -> 808  -3069  1027 90.26
21:01:04.694 -> 808  -3069  1027 90.26
21:01:04.729 -> 807  -3070  1026 90.18
21:01:04.729 -> 807  -3070  1026 90.18
21:01:04.729 -> 807  -3070  1026 90.18
21:01:04.729 -> 808  -3069  1027 90.26
21:01:04.729 -> 807  -3070  1026 90.18
21:01:04.729 -> 808  -3069  1027 90.26
21:01:04.729 -> 808  -3069  1027 90.26
21:01:04.729 -> 808  -3069  1027 90.26
21:01:04.729 -> 808  -3069  1027 90.26
21:01:04.729 -> 808  -3069  1027 90.26
21:01:04.729 -> 808  -3069  1027 90.26
21:01:04.729 -> 808  -3069  1027 90.26
21:01:04.729 -> 808  -3069  1027 90.26
21:01:04.729 -> 808  -3069  1027 90.26
21:01:04.729 -> 808  -3069  1027 90.26
21:01:04.729 -> 808  -3069  1027 90.26
21:01:04.729 -> 808  -3069  1027 90.26
21:01:04.729 -> 809  -3068  1028 90.35
21:01:04.762 -> 809  -3068  1028 90.35
21:01:04.762 -> 809  -3068  1028 90.35
21:01:04.762 -> 809  -3068  1028 90.35
21:01:04.762 -> 809  -3068  1028 90.35
21:01:04.762 -> 809  -3068  1028 90.35
21:01:04.762 -> 809  -3068  1028 90.35
21:01:04.762 -> 809  -3068  1028 90.35
21:01:04.762 -> 810  -3067  1029 90.44
21:01:04.762 -> 810  -3067  1029 90.44
21:01:04.762 -> 810  -3067  1029 90.44
21:01:04.762 -> 810  -3067  1029 90.44
21:01:04.762 -> 810  -3067  1029 90.44
21:01:04.762 -> 810  -3067  1029 90.44
21:01:04.762 -> 810  -3067  1029 90.44
21:01:04.762 -> 810  -3067  1029 90.44
21:01:04.762 -> 810  -3067  1029 90.44
21:01:04.795 -> 810  -3067  1029 90.44
21:01:04.795 -> 810  -3067  1029 90.44
21:01:04.795 -> 811  -3066  1030 90.53
21:01:04.795 -> 811  -3066  1030 90.53
21:01:04.795 -> 811  -3066  1030 90.53
21:01:04.795 -> 811  -3066  1030 90.53
21:01:04.795 -> 811  -3066  1030 90.53
21:01:04.795 -> 811  -3066  1030 90.53
21:01:04.795 -> 811  -3066  1030 90.53
21:01:04.795 -> 811  -3066  1030 90.53
21:01:04.795 -> 811  -3066  1030 90.53
21:01:04.795 -> 811  -3066  1030 90.53
21:01:04.795 -> 811  -3066  1030 90.53
21:01:04.795 -> 811  -3066  1030 90.53
21:01:04.795 -> 811  -3066  1030 90.53
21:01:04.795 -> 811  -3066  1030 90.53
21:01:04.829 -> 811  -3066  1030 90.53
21:01:04.829 -> 811  -3066  1030 90.53
21:01:04.829 -> 811  -3066  1030 90.53
21:01:04.829 -> 811  -3066  1030 90.53
21:01:04.829 -> 811  -3066  1030 90.53
21:01:04.829 -> 811  -3066  1030 90.53
21:01:04.829 -> 811  -3066  1030 90.53
21:01:04.829 -> 811  -3066  1030 90.53
21:01:04.829 -> 811  -3066  1030 90.53
21:01:04.829 -> 811  -3066  1030 90.53
21:01:04.829 -> 812  -3065  1031 90.62
21:01:04.829 -> 812  -3065  1031 90.62
21:01:04.829 -> 812  -3065  1031 90.62
21:01:04.829 -> 812  -3065  1031 90.62
21:01:04.829 -> 812  -3065  1031 90.62
21:01:04.829 -> 812  -3065  1031 90.62
21:01:04.864 -> 812  -3065  1031 90.62
21:01:04.864 -> 812  -3065  1031 90.62
21:01:04.864 -> 812  -3065  1031 90.62
21:01:04.864 -> 812  -3065  1031 90.62
21:01:04.864 -> 813  -3064  1032 90.70
21:01:04.864 -> 812  -3065  1031 90.62
21:01:04.864 -> 812  -3065  1031 90.62
21:01:04.864 -> 813  -3064  1032 90.70
21:01:04.864 -> 812  -3065  1031 90.62
21:01:04.864 -> 813  -3064  1032 90.70
21:01:04.864 -> 813  -3064  1032 90.70
21:01:04.864 -> 813  -3064  1032 90.70
21:01:04.864 -> 813  -3064  1032 90.70
21:01:04.864 -> 812  -3065  1031 90.62
21:01:04.864 -> 812  -3065  1031 90.62
21:01:04.864 -> 812  -3065  1031 90.62
21:01:04.864 -> 812  -3065  1031 90.62
21:01:04.864 -> 812  -3065  1031 90.62
21:01:04.897 -> 812  -3065  1031 90.62
